date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2011-03-08,1580.11,1585.51,1570.51,1574.48,USD,1.0,0.0
2011-03-09,1577.24,1585.07,1570.07,1577.13,USD,1.0,0.0
2011-03-10,1578.78,1579.56,1547.78,1558.26,USD,1.0,0.0
2011-03-11,1557.49,1571.61,1549.77,1568.52,USD,1.0,0.0
2011-03-14,1568.63,1581.43,1564.55,1571.94,USD,1.0,-1.0
2011-03-15,1576.36,1576.47,1523.18,1536.53,USD,1.0,-1.0
2011-03-16,1538.74,1551.76,1535.98,1540.17,USD,1.0,-1.0
2011-03-17,1544.47,1550.43,1529.91,1549.11,USD,1.0,-1.0
2011-03-18,1549.88,1571.06,1546.9,1562.24,USD,1.0,-1.0
2011-03-21,1571.17,1583.2,1570.4,1573.6,USD,1.0,-1.0
2011-03-22,1574.59,1580.11,1565.99,1574.92,USD,1.0,-1.0
2011-03-23,1576.36,1589.93,1572.94,1586.4,USD,1.0,-1.0
2011-03-24,1586.4,1598.09,1570.62,1582.98,USD,1.0,-1.0
2011-03-25,1581.43,1586.51,1568.75,1573.38,USD,1.0,1.0
2011-03-28,1575.92,1577.57,1555.62,1566.43,USD,1.0,1.0
2011-03-29,1567.64,1570.4,1556.61,1562.35,USD,1.0,1.0
2011-03-30,1565.1,1577.9,1557.71,1570.73,USD,1.0,1.0
2011-03-31,1570.18,1588.6,1567.31,1587.39,USD,1.0,1.0
2011-04-01,1580.66,1585.07,1558.29,1575.26,USD,1.0,1.0
2011-04-04,1576.48,1587.83,1575.48,1579.78,USD,1.0,1.0
2011-04-05,1582.65,1608.0,1577.58,1601.28,USD,1.0,1.0
2011-04-06,1607.56,1613.63,1601.28,1607.89,USD,1.0,1.0
2011-04-07,1609.66,1616.71,1602.6,1608.78,USD,1.0,1.0
2011-04-08,1609.33,1627.63,1607.01,1625.09,USD,1.0,1.0
2011-04-11,1627.52,1629.39,1609.77,1618.48,USD,1.0,1.0
2011-04-12,1615.28,1618.92,1593.01,1602.49,USD,1.0,1.0
2011-04-13,1602.93,1613.63,1600.73,1604.7,USD,1.0,1.0
2011-04-14,1607.45,1627.96,1602.05,1623.22,USD,1.0,1.0
2011-04-15,1627.85,1641.63,1623.0,1638.21,USD,1.0,1.0
2011-04-18,1640.42,1652.1,1629.17,1645.82,USD,1.0,1.0
2011-04-19,1649.9,1654.2,1640.64,1648.24,USD,1.0,1.0
2011-04-20,1649.35,1660.81,1646.81,1652.43,USD,1.0,1.0
2011-04-21,1655.85,1664.23,1654.09,1657.83,USD,1.0,1.0
2011-04-25,1665.44,1674.81,1656.07,1663.68,USD,1.0,0.0
2011-04-26,1661.58,1663.02,1644.83,1657.5,USD,1.0,0.0
2011-04-27,1661.25,1687.49,1657.28,1672.5,USD,1.0,0.0
2011-04-28,1684.29,1696.42,1679.99,1688.04,USD,1.0,0.0
2011-04-29,1692.56,1730.59,1689.03,1715.82,USD,1.0,0.0
2011-05-02,1727.29,1738.97,1698.07,1716.59,USD,1.0,0.0
2011-05-03,1703.48,1710.31,1671.5,1698.18,USD,1.0,0.0
2011-05-04,1695.21,1701.6,1659.71,1670.51,USD,1.0,0.0
2011-05-05,1672.39,1678.01,1612.3,1633.14,USD,1.0,0.0
2011-05-06,1627.08,1651.99,1621.79,1644.38,USD,1.0,0.0
2011-05-09,1649.9,1668.97,1641.52,1657.17,USD,1.0,0.0
2011-05-10,1667.43,1675.69,1659.38,1672.28,USD,1.0,0.0
2011-05-11,1671.17,1683.19,1648.57,1655.19,USD,1.0,0.0
2011-05-12,1652.76,1664.34,1628.95,1661.14,USD,1.0,0.0
2011-05-13,1660.81,1671.73,1633.8,1646.59,USD,1.0,0.0
2011-05-16,1647.69,1658.39,1638.21,1643.28,USD,1.0,0.0
2011-05-17,1642.62,1650.89,1621.79,1631.6,USD,1.0,0.0
2011-05-18,1638.76,1653.31,1636.67,1649.02,USD,1.0,0.0
2011-05-19,1648.68,1653.2,1637.99,1645.27,USD,1.0,0.0
2011-05-20,1646.48,1671.06,1638.65,1663.46,USD,1.0,0.0
2011-05-23,1667.76,1674.59,1657.72,1670.62,USD,1.0,0.0
2011-05-24,1672.61,1685.62,1668.2,1679.33,USD,1.0,0.0
2011-05-25,1682.53,1689.47,1677.13,1683.08,USD,1.0,0.0
2011-05-26,1682.31,1687.93,1669.74,1678.78,USD,1.0,0.0
2011-05-27,1675.03,1696.09,1673.93,1693.66,USD,1.0,0.0
2011-05-30,,,,,USD,1.0,0.0
2011-05-31,1696.53,1698.96,1689.36,1693.22,USD,1.0,0.0
2011-06-01,1693.0,1709.53,1686.17,1700.27,USD,1.0,0.0
2011-06-02,1699.17,1702.81,1675.15,1688.71,USD,1.0,0.0
2011-06-03,1691.24,1706.0,1680.11,1699.39,USD,1.0,0.0
2011-06-06,1701.71,1713.28,1698.51,1704.68,USD,1.0,0.0
2011-06-07,1702.26,1709.31,1693.44,1701.16,USD,1.0,0.0
2011-06-08,1702.26,1704.9,1687.71,1695.32,USD,1.0,0.0
2011-06-09,1694.88,1708.65,1690.14,1699.72,USD,1.0,0.0
2011-06-10,1702.37,1703.91,1682.09,1684.85,USD,1.0,0.0
2011-06-13,1686.5,1690.03,1665.24,1669.86,USD,1.0,0.0
2011-06-14,1670.86,1683.09,1666.78,1679.56,USD,1.0,0.0
2011-06-15,1680.33,1692.01,1668.65,1681.54,USD,1.0,0.0
2011-06-16,1686.83,1690.14,1676.92,1685.62,USD,1.0,0.0
2011-06-17,1684.74,1700.05,1678.24,1695.76,USD,1.0,0.0
2011-06-20,1698.18,1705.78,1689.7,1698.95,USD,1.0,0.0
2011-06-21,1697.96,1706.66,1695.98,1703.8,USD,1.0,0.0
2011-06-22,1705.45,1718.01,1698.95,1711.51,USD,1.0,0.0
2011-06-23,1706.11,1707.33,1665.35,1675.26,USD,1.0,0.0
2011-06-24,1677.69,1681.87,1651.02,1653.67,USD,1.0,0.0
2011-06-27,1653.67,1659.4,1642.54,1648.71,USD,1.0,0.0
2011-06-28,1649.15,1660.39,1647.72,1652.9,USD,1.0,0.0
2011-06-29,1655.43,1667.88,1653.56,1664.14,USD,1.0,0.0
2011-06-30,1666.23,1668.98,1651.69,1655.76,USD,1.0,0.0
2011-07-01,1654.33,1655.98,1628.77,1633.51,USD,1.0,1.0
2011-07-04,,,,,USD,1.0,1.0
2011-07-05,1647.94,1672.51,1637.47,1666.67,USD,1.0,1.0
2011-07-06,1670.53,1690.69,1664.03,1684.85,USD,1.0,1.0
2011-07-07,1685.4,1691.13,1677.14,1686.39,USD,1.0,1.0
2011-07-08,1688.48,1703.36,1680.22,1698.51,USD,1.0,1.0
2011-07-11,1702.26,1716.14,1699.06,1706.88,USD,1.0,1.0
2011-07-12,1713.05,1734.54,1697.96,1721.32,USD,1.0,1.0
2011-07-13,1727.6,1750.63,1723.85,1746.88,USD,1.0,0.0
2011-07-14,1745.45,1757.24,1740.16,1751.07,USD,1.0,0.0
2011-07-15,1749.19,1756.8,1736.41,1751.95,USD,1.0,0.0
2011-07-18,1756.58,1771.56,1753.38,1765.5,USD,1.0,0.0
2011-07-19,1769.58,1774.64,1743.79,1764.07,USD,1.0,0.0
2011-07-20,1749.3,1765.72,1742.03,1759.44,USD,1.0,0.0
2011-07-21,1764.95,1768.36,1746.22,1748.53,USD,1.0,0.0
2011-07-22,1751.51,1771.34,1744.35,1764.51,USD,1.0,0.0
2011-07-25,1771.56,1789.63,1767.04,1776.3,USD,1.0,0.0
2011-07-26,1779.16,1785.77,1771.45,1781.37,USD,1.0,0.0
2011-07-27,1784.67,1794.59,1772.66,1779.49,USD,1.0,0.0
2011-07-28,1778.5,1785.55,1765.94,1777.62,USD,1.0,0.0
2011-07-29,1781.7,1801.31,1774.53,1794.04,USD,1.0,0.0
2011-08-01,1783.8,1797.67,1770.04,1783.58,USD,1.0,0.0
2011-08-02,1784.13,1830.47,1780.5,1808.57,USD,1.0,0.0
2011-08-03,1829.37,1844.01,1819.57,1832.56,USD,1.0,0.0
2011-08-04,1828.6,1853.03,1806.36,1824.42,USD,1.0,0.0
2011-08-05,1812.97,1839.49,1808.01,1816.38,USD,1.0,0.0
2011-08-08,1847.75,1895.19,1847.75,1883.96,USD,1.0,0.0
2011-08-09,1891.89,1960.24,1889.03,1916.76,USD,1.0,0.0
2011-08-10,1920.18,1980.27,1914.34,1962.22,USD,1.0,0.0
2011-08-11,1976.42,1998.66,1907.63,1926.12,USD,1.0,0.0
2011-08-12,1944.61,1947.47,1897.83,1916.32,USD,1.0,0.0
2011-08-15,1920.18,1945.71,1903.56,1933.27,USD,1.0,0.0
2011-08-16,1944.61,1968.5,1939.55,1962.99,USD,1.0,0.0
2011-08-17,1968.39,1976.75,1959.47,1972.68,USD,1.0,0.0
2011-08-18,1970.37,2014.29,1965.42,2003.17,USD,1.0,0.0
2011-08-19,2009.33,2068.0,2005.92,2036.41,USD,1.0,0.0
2011-08-22,2046.43,2092.99,2045.44,2080.0,USD,1.0,0.0
2011-08-23,2087.04,2107.85,2007.46,2046.43,USD,1.0,0.0
2011-08-24,2014.73,2041.58,1925.79,1931.73,USD,1.0,0.0
2011-08-25,1926.89,1953.42,1873.07,1937.9,USD,1.0,0.0
2011-08-26,1950.89,2014.07,1934.71,1975.87,USD,1.0,0.0
2011-08-29,2023.09,2024.19,1955.18,1969.49,USD,1.0,0.0
2011-08-30,1969.38,2026.28,1963.65,2011.53,USD,1.0,0.0
2011-08-31,2020.45,2025.62,1993.81,2013.52,USD,1.0,0.0
2011-09-01,2008.78,2015.61,1996.79,2010.65,USD,1.0,0.0
2011-09-02,2009.55,2074.83,2008.56,2063.16,USD,1.0,0.0
2011-09-05,,,,,USD,1.0,0.0
2011-09-06,2068.44,2114.12,2027.5,2058.98,USD,1.0,0.0
2011-09-07,2062.83,2069.54,1971.36,1997.67,USD,1.0,0.0
2011-09-08,1997.67,2059.31,1996.68,2042.02,USD,1.0,0.0
2011-09-09,2058.31,2076.59,2006.91,2044.12,USD,1.0,0.0
2011-09-12,2047.86,2050.5,1983.25,1992.93,USD,1.0,0.0
2011-09-13,1998.88,2030.36,1973.45,2011.53,USD,1.0,0.0
